t,Capital,Lambda,Costo_Mult,Modelo
t24,13112.222996247889,1.1,0.01,GAMS
t25,13046.282580279369,1.1,0.01,GAMS
t26,13435.329951601367,1.1,0.01,GAMS
t27,13545.806607804287,1.1,0.01,GAMS
t28,13236.776770512988,1.1,0.01,GAMS
t29,13544.130587564112,1.1,0.01,GAMS
t30,13860.14775384326,1.1,0.01,GAMS
t31,14272.278649781043,1.1,0.01,GAMS
t32,14781.30563283664,1.1,0.01,GAMS
t33,14817.540923358272,1.1,0.01,GAMS
t34,15001.018100020645,1.1,0.01,GAMS
t35,15190.961345109501,1.1,0.01,GAMS
t36,14688.979983206375,1.1,0.01,GAMS
t37,14801.907355041514,1.1,0.01,GAMS
t38,14599.329411299881,1.1,0.01,GAMS
t39,14670.245093550739,1.1,0.01,GAMS
t40,15065.717439912221,1.1,0.01,GAMS
t41,15513.103511720828,1.1,0.01,GAMS
t42,15730.636748065122,1.1,0.01,GAMS
t43,16014.685465369052,1.1,0.01,GAMS
t44,16288.170282606568,1.1,0.01,GAMS
t45,16360.18159834797,1.1,0.01,GAMS
t46,16146.877904886745,1.1,0.01,GAMS
t47,15712.192874892362,1.1,0.01,GAMS
t48,15547.782351320413,1.1,0.01,GAMS
t49,15754.846380070587,1.1,0.01,GAMS
t50,15393.15259668779,1.1,0.01,GAMS
t51,15851.56043101224,1.1,0.01,GAMS
t52,15773.159008229692,1.1,0.01,GAMS
t53,15253.464611704649,1.1,0.01,GAMS
t54,15212.840011619921,1.1,0.01,GAMS
t55,13916.654579122012,1.1,0.01,GAMS
t56,14014.158863667528,1.1,0.01,GAMS
t57,14458.105361527494,1.1,0.01,GAMS
t58,14327.249933942101,1.1,0.01,GAMS
t59,14025.430550200135,1.1,0.01,GAMS
t60,14069.858390628306,1.1,0.01,GAMS
t61,13905.67235270559,1.1,0.01,GAMS
t62,13525.483538492103,1.1,0.01,GAMS
t63,14391.199157854928,1.1,0.01,GAMS
t64,14749.700746009483,1.1,0.01,GAMS
t65,14861.025013872171,1.1,0.01,GAMS
t66,14567.481825947525,1.1,0.01,GAMS
t67,14170.85973377059,1.1,0.01,GAMS
t68,13801.84801228945,1.1,0.01,GAMS
t69,13333.377166494753,1.1,0.01,GAMS
t70,13214.555577106397,1.1,0.01,GAMS
t71,12527.055517433984,1.1,0.01,GAMS
t72,12126.141319403512,1.1,0.01,GAMS
t73,12587.127600364534,1.1,0.01,GAMS
t74,12537.491275123906,1.1,0.01,GAMS
t75,11946.991062739931,1.1,0.01,GAMS
t76,10647.993683862129,1.1,0.01,GAMS
t77,11268.183698255008,1.1,0.01,GAMS
t78,10757.760702082947,1.1,0.01,GAMS
t79,11223.322079883668,1.1,0.01,GAMS
t80,11070.926912714911,1.1,0.01,GAMS
t81,11506.583092734369,1.1,0.01,GAMS
t82,12051.713386675407,1.1,0.01,GAMS
t83,12026.779215070084,1.1,0.01,GAMS
t84,12480.02646976166,1.1,0.01,GAMS
t85,12134.097285513868,1.1,0.01,GAMS
t86,11635.762785490868,1.1,0.01,GAMS
t87,11265.090141181405,1.1,0.01,GAMS
t88,11746.853975496442,1.1,0.01,GAMS
t89,11058.700554686433,1.1,0.01,GAMS
t90,10514.979884416492,1.1,0.01,GAMS
t91,10302.298006926398,1.1,0.01,GAMS
t92,10437.860489330373,1.1,0.01,GAMS
t93,10257.412842906488,1.1,0.01,GAMS
t94,10669.329914193619,1.1,0.01,GAMS
t95,11207.231381564983,1.1,0.01,GAMS
t96,10965.284089953278,1.1,0.01,GAMS
t97,11024.938498574988,1.1,0.01,GAMS
t98,10886.632081880321,1.1,0.01,GAMS
t99,11002.914238930967,1.1,0.01,GAMS
t100,11187.799552298879,1.1,0.01,GAMS
t101,10851.38614636901,1.1,0.01,GAMS
t102,10559.949387946945,1.1,0.01,GAMS
t103,10577.760134837661,1.1,0.01,GAMS
t104,10539.597599779952,1.1,0.01,GAMS
t105,10718.148445554638,1.1,0.01,GAMS
t106,11200.53346328266,1.1,0.01,GAMS
t107,11333.728852901144,1.1,0.01,GAMS
t108,11595.056345791143,1.1,0.01,GAMS
t109,11792.095587253581,1.1,0.01,GAMS
t110,11519.893744424005,1.1,0.01,GAMS
t111,11700.935109641592,1.1,0.01,GAMS
t112,11209.4688944577,1.1,0.01,GAMS
t113,11337.682270299314,1.1,0.01,GAMS
t114,10710.723128801601,1.1,0.01,GAMS
t115,11238.685387200567,1.1,0.01,GAMS
t116,11341.39735733179,1.1,0.01,GAMS
t117,11766.050883375772,1.1,0.01,GAMS
t118,11743.879957049767,1.1,0.01,GAMS
t119,11973.235760134596,1.1,0.01,GAMS
t120,11714.353940277002,1.1,0.01,GAMS
t121,11916.43228812115,1.1,0.01,GAMS
t122,11861.058512607806,1.1,0.01,GAMS
t123,11660.523502357742,1.1,0.01,GAMS
t124,11850.767833858457,1.1,0.01,GAMS
t125,11886.049739315979,1.1,0.01,GAMS
t126,12111.617074022894,1.1,0.01,GAMS
t127,12098.647498765189,1.1,0.01,GAMS
t128,12332.272131097796,1.1,0.01,GAMS
t129,12394.556448654488,1.1,0.01,GAMS
t130,12637.889882176049,1.1,0.01,GAMS
t131,12491.181118358352,1.1,0.01,GAMS
t132,12763.80134116458,1.1,0.01,GAMS
t133,12829.224141962728,1.1,0.01,GAMS
t134,12922.694514050214,1.1,0.01,GAMS
t135,12657.813442063532,1.1,0.01,GAMS
t136,12646.320576280299,1.1,0.01,GAMS
t137,12233.339931795263,1.1,0.01,GAMS
t138,12314.013614194095,1.1,0.01,GAMS
t139,12567.331504403173,1.1,0.01,GAMS
t140,12430.995351413005,1.1,0.01,GAMS
t141,12430.36147551898,1.1,0.01,GAMS
t142,12099.926764504024,1.1,0.01,GAMS
t143,12049.456658064253,1.1,0.01,GAMS
t144,12132.785619693896,1.1,0.01,GAMS
t145,11932.649085887071,1.1,0.01,GAMS
t146,11796.826041137185,1.1,0.01,GAMS
t147,11707.796199386106,1.1,0.01,GAMS
t148,12331.335786968632,1.1,0.01,GAMS
t149,12592.684325127424,1.1,0.01,GAMS
t150,12795.672959643602,1.1,0.01,GAMS
t151,12975.893995533563,1.1,0.01,GAMS
t152,13086.653522016057,1.1,0.01,GAMS
t153,13310.881243852822,1.1,0.01,GAMS
t154,13504.496172997166,1.1,0.01,GAMS
t155,13665.030613542058,1.1,0.01,GAMS
t156,13658.861075857827,1.1,0.01,GAMS
t157,13501.671977207661,1.1,0.01,GAMS
t158,13754.136504801843,1.1,0.01,GAMS
t159,13807.972101771005,1.1,0.01,GAMS
t160,13892.493683573486,1.1,0.01,GAMS
t161,14095.89696739106,1.1,0.01,GAMS
t162,14405.50780857698,1.1,0.01,GAMS
t163,14721.921773116981,1.1,0.01,GAMS
t1,11494.533084936349,1.1,0.2,GAMS
t2,10954.39748117943,1.1,0.2,GAMS
t3,10473.031863665323,1.1,0.2,GAMS
t4,10887.206874735686,1.1,0.2,GAMS
t5,11688.570739399976,1.1,0.2,GAMS
t6,12800.779161903132,1.1,0.2,GAMS
t7,13505.891215994212,1.1,0.2,GAMS
t8,12127.47557292719,1.1,0.2,GAMS
t9,12512.279887757872,1.1,0.2,GAMS
t10,13435.523152494568,1.1,0.2,GAMS
t11,13551.510669448719,1.1,0.2,GAMS
t12,13490.472922169221,1.1,0.2,GAMS
t13,13867.230255950213,1.1,0.2,GAMS
t14,14222.531765051723,1.1,0.2,GAMS
t15,14732.053074713951,1.1,0.2,GAMS
t16,14173.762642804408,1.1,0.2,GAMS
t17,14812.801571530712,1.1,0.2,GAMS
t18,15397.933026974597,1.1,0.2,GAMS
t19,15018.209920035497,1.1,0.2,GAMS
t20,13011.295018025667,1.1,0.2,GAMS
t21,12951.280678139019,1.1,0.2,GAMS
t22,13442.218599827109,1.1,0.2,GAMS
t23,13225.986501348738,1.1,0.2,GAMS
t24,12898.919529408764,1.1,0.2,GAMS
t25,12711.882321098423,1.1,0.2,GAMS
t26,13050.848348551712,1.1,0.2,GAMS
t27,13157.55257994579,1.1,0.2,GAMS
t28,12813.533928745304,1.1,0.2,GAMS
t29,13112.311238626542,1.1,0.2,GAMS
t30,13547.546346214003,1.1,0.2,GAMS
t31,13878.468685598922,1.1,0.2,GAMS
t32,14304.972678668255,1.1,0.2,GAMS
t33,14345.061754118353,1.1,0.2,GAMS
t34,14523.97083721053,1.1,0.2,GAMS
t35,14746.062653276083,1.1,0.2,GAMS
t36,14168.803270543369,1.1,0.2,GAMS
t37,14227.300320719536,1.1,0.2,GAMS
t38,14008.50315206174,1.1,0.2,GAMS
t39,14015.581667984536,1.1,0.2,GAMS
t40,14350.51537607556,1.1,0.2,GAMS
t41,14787.674108558089,1.1,0.2,GAMS
t42,14992.744595960665,1.1,0.2,GAMS
t43,15282.763082746482,1.1,0.2,GAMS
t44,15532.644218222722,1.1,0.2,GAMS
t45,15591.108201787294,1.1,0.2,GAMS
t46,15409.966622873208,1.1,0.2,GAMS
t47,14986.696651422793,1.1,0.2,GAMS
t48,14833.826133870454,1.1,0.2,GAMS
t49,15072.35690486685,1.1,0.2,GAMS
t50,14726.645532075157,1.1,0.2,GAMS
t51,15192.700872250278,1.1,0.2,GAMS
t52,15065.17288908367,1.1,0.2,GAMS
t53,14552.96272451114,1.1,0.2,GAMS
t54,14512.999808015353,1.1,0.2,GAMS
t55,13254.70448327624,1.1,0.2,GAMS
t56,13351.863417896568,1.1,0.2,GAMS
t57,13773.714567391084,1.1,0.2,GAMS
t58,13648.805658067156,1.1,0.2,GAMS
t59,13352.823028985476,1.1,0.2,GAMS
t60,13387.046800165659,1.1,0.2,GAMS
t61,13233.331097177883,1.1,0.2,GAMS
t62,12868.49656853086,1.1,0.2,GAMS
t63,13685.33786667526,1.1,0.2,GAMS
t64,14024.61244526352,1.1,0.2,GAMS
t65,14152.700508270726,1.1,0.2,GAMS
t66,13848.07446886798,1.1,0.2,GAMS
t67,13462.09615693153,1.1,0.2,GAMS
t68,13115.245951425159,1.1,0.2,GAMS
t69,12668.19143027844,1.1,0.2,GAMS
t70,12540.115066885906,1.1,0.2,GAMS
t71,11887.619268617955,1.1,0.2,GAMS
t72,11511.80984180797,1.1,0.2,GAMS
t73,11969.267130515447,1.1,0.2,GAMS
t74,11922.75328762884,1.1,0.2,GAMS
t75,11384.149379086106,1.1,0.2,GAMS
t76,9949.611334729514,1.1,0.2,GAMS
t77,10543.705742040824,1.1,0.2,GAMS
t78,10081.22420479911,1.1,0.2,GAMS
t79,10517.034083023895,1.1,0.2,GAMS
t80,10373.852050282494,1.1,0.2,GAMS
t81,10781.697419337153,1.1,0.2,GAMS
t82,11299.227179180405,1.1,0.2,GAMS
t83,11267.752245636982,1.1,0.2,GAMS
t84,11711.47020280399,1.1,0.2,GAMS
t85,11332.209730197355,1.1,0.2,GAMS
t86,10866.706773374846,1.1,0.2,GAMS
t87,10519.37131205478,1.1,0.2,GAMS
t88,10969.701698349454,1.1,0.2,GAMS
t89,10326.41909659163,1.1,0.2,GAMS
t90,9820.596262448002,1.1,0.2,GAMS
t91,9614.89569281756,1.1,0.2,GAMS
t92,9741.315898294606,1.1,0.2,GAMS
t93,9569.743402706317,1.1,0.2,GAMS
t94,9941.845472838047,1.1,0.2,GAMS
t95,10449.734714464139,1.1,0.2,GAMS
t96,10224.143272002022,1.1,0.2,GAMS
t97,10279.756268858964,1.1,0.2,GAMS
t98,10173.379466018076,1.1,0.2,GAMS
t99,10285.684428956069,1.1,0.2,GAMS
t100,10457.852826499517,1.1,0.2,GAMS
t101,10151.293628846612,1.1,0.2,GAMS
t102,9882.629482022236,1.1,0.2,GAMS
t103,9896.87478694431,1.1,0.2,GAMS
t104,9858.421950397096,1.1,0.2,GAMS
t105,10029.999238106004,1.1,0.2,GAMS
t106,10493.134083296276,1.1,0.2,GAMS
t107,10635.655313879388,1.1,0.2,GAMS
t108,10879.626392262471,1.1,0.2,GAMS
t109,11066.899388952606,1.1,0.2,GAMS
t110,10809.977383253981,1.1,0.2,GAMS
t111,11012.941807556876,1.1,0.2,GAMS
t112,10600.62274056486,1.1,0.2,GAMS
t113,10685.58536067657,1.1,0.2,GAMS
t114,10078.938443808185,1.1,0.2,GAMS
t115,10688.549219696253,1.1,0.2,GAMS
t116,10799.409554690104,1.1,0.2,GAMS
t117,11215.880394767642,1.1,0.2,GAMS
t118,11197.973939863448,1.1,0.2,GAMS
t119,11440.533931403314,1.1,0.2,GAMS
t120,11211.267611137904,1.1,0.2,GAMS
t121,11397.291073390963,1.1,0.2,GAMS
t122,11352.185966520672,1.1,0.2,GAMS
t123,11127.669087443863,1.1,0.2,GAMS
t124,11309.294265960543,1.1,0.2,GAMS
t125,11342.80251150203,1.1,0.2,GAMS
t126,11559.132942006388,1.1,0.2,GAMS
t127,11540.492037021788,1.1,0.2,GAMS
t128,11755.548380750479,1.1,0.2,GAMS
t129,11835.34868856259,1.1,0.2,GAMS
t130,12068.074152922885,1.1,0.2,GAMS
t131,11928.016293013488,1.1,0.2,GAMS
t132,12184.060518848608,1.1,0.2,GAMS
t133,12242.170343617085,1.1,0.2,GAMS
t134,12324.284450094463,1.1,0.2,GAMS
t135,12060.67386487497,1.1,0.2,GAMS
t136,12048.360245921625,1.1,0.2,GAMS
t137,11637.817350744072,1.1,0.2,GAMS
t138,11715.821354767506,1.1,0.2,GAMS
t139,11950.714041739897,1.1,0.2,GAMS
t140,11825.057235601564,1.1,0.2,GAMS
t141,11828.341157735784,1.1,0.2,GAMS
t142,11521.69321400222,1.1,0.2,GAMS
t143,11481.56207685431,1.1,0.2,GAMS
t144,11566.182547333552,1.1,0.2,GAMS
t145,11445.553383420574,1.1,0.2,GAMS
t146,11319.818373164708,1.1,0.2,GAMS
t147,11242.93991412231,1.1,0.2,GAMS
t148,11840.830338288755,1.1,0.2,GAMS
t149,12094.542759131513,1.1,0.2,GAMS
t150,12287.4430117838,1.1,0.2,GAMS
t151,12466.511148419113,1.1,0.2,GAMS
t152,12574.599849766839,1.1,0.2,GAMS
t153,12815.221072476328,1.1,0.2,GAMS
t154,13009.696845578133,1.1,0.2,GAMS
t155,13152.785335101567,1.1,0.2,GAMS
t156,13137.162211408535,1.1,0.2,GAMS
t157,12996.18360210174,1.1,0.2,GAMS
t158,13240.336911617873,1.1,0.2,GAMS
t159,13314.22777502354,1.1,0.2,GAMS
t160,13408.980755992237,1.1,0.2,GAMS
t161,13607.230920842521,1.1,0.2,GAMS
t162,13928.204997509461,1.1,0.2,GAMS
t163,14256.750369063033,1.1,0.2,GAMS
t1,11494.533889511473,1.1,0.5,GAMS
t2,10954.398021750232,1.1,0.5,GAMS
t3,10473.031956499848,1.1,0.5,GAMS
t4,10887.207441005132,1.1,0.5,GAMS
t5,11688.571535317895,1.1,0.5,GAMS
t6,12800.780626945914,1.1,0.5,GAMS
t7,13505.893249878498,1.1,0.5,GAMS
t8,12127.476759778398,1.1,0.5,GAMS
t9,12512.281288200613,1.1,0.5,GAMS
t10,13435.52502213269,1.1,0.5,GAMS
t11,13551.233897482723,1.1,0.5,GAMS
t12,13480.741012954448,1.1,0.5,GAMS
t13,13917.474809699783,1.1,0.5,GAMS
t14,14269.937143858755,1.1,0.5,GAMS
t15,14865.331898755378,1.1,0.5,GAMS
t16,14157.262120672032,1.1,0.5,GAMS
t17,14721.828432528175,1.1,0.5,GAMS
t18,15256.39931750967,1.1,0.5,GAMS
t19,14897.600306865657,1.1,0.5,GAMS
t20,13112.2654696571,1.1,0.5,GAMS
t21,13094.079727609436,1.1,0.5,GAMS
t22,13508.064950021933,1.1,0.5,GAMS
t23,13291.155069907938,1.1,0.5,GAMS
t24,12962.431433387903,1.1,0.5,GAMS
t25,12774.474021433278,1.1,0.5,GAMS
t26,13115.108899660605,1.1,0.5,GAMS
t27,13221.286670631438,1.1,0.5,GAMS
t28,12875.49083832362,1.1,0.5,GAMS
t29,13175.712817479962,1.1,0.5,GAMS
t30,13613.05240478052,1.1,0.5,GAMS
t31,13945.574843370914,1.1,0.5,GAMS
t32,14374.141098848133,1.1,0.5,GAMS
t33,14414.400249155708,1.1,0.5,GAMS
t34,14594.17410974294,1.1,0.5,GAMS
t35,14817.02850747505,1.1,0.5,GAMS
t36,14236.99104722068,1.1,0.5,GAMS
t37,14295.769616147409,1.1,0.5,GAMS
t38,14075.919479769675,1.1,0.5,GAMS
t39,14083.032061255646,1.1,0.5,GAMS
t40,14419.577647530943,1.1,0.5,GAMS
t41,14873.383232996257,1.1,0.5,GAMS
t42,15076.681544063898,1.1,0.5,GAMS
t43,15375.847114128988,1.1,0.5,GAMS
t44,15622.914158132304,1.1,0.5,GAMS
t45,15690.493226400182,1.1,0.5,GAMS
t46,15489.225416204248,1.1,0.5,GAMS
t47,15057.184296537627,1.1,0.5,GAMS
t48,14906.176627651323,1.1,0.5,GAMS
t49,15119.812733339324,1.1,0.5,GAMS
t50,14768.881782922625,1.1,0.5,GAMS
t51,15247.279027774926,1.1,0.5,GAMS
t52,15098.292173443497,1.1,0.5,GAMS
t53,14566.358487396174,1.1,0.5,GAMS
t54,14526.166071000634,1.1,0.5,GAMS
t55,13346.434615818614,1.1,0.5,GAMS
t56,13445.17644196908,1.1,0.5,GAMS
t57,13827.566685344018,1.1,0.5,GAMS
t58,13687.699834874651,1.1,0.5,GAMS
t59,13383.324101147484,1.1,0.5,GAMS
t60,13410.229697607241,1.1,0.5,GAMS
t61,13257.986260305723,1.1,0.5,GAMS
t62,12894.589181021347,1.1,0.5,GAMS
t63,13717.817781148855,1.1,0.5,GAMS
t64,14067.374144478903,1.1,0.5,GAMS
t65,14211.998206199281,1.1,0.5,GAMS
t66,13889.3598428209,1.1,0.5,GAMS
t67,13490.449784807059,1.1,0.5,GAMS
t68,13146.71262611889,1.1,0.5,GAMS
t69,12697.173101580538,1.1,0.5,GAMS
t70,12555.125785258117,1.1,0.5,GAMS
t71,11876.795454556854,1.1,0.5,GAMS
t72,11501.256079065091,1.1,0.5,GAMS
t73,11983.480224621275,1.1,0.5,GAMS
t74,11933.924291405998,1.1,0.5,GAMS
t75,11392.232534567964,1.1,0.5,GAMS
t76,9981.100562610553,1.1,0.5,GAMS
t77,10585.727822396891,1.1,0.5,GAMS
t78,10188.16712517872,1.1,0.5,GAMS
t79,10591.982630628458,1.1,0.5,GAMS
t80,10448.244449043374,1.1,0.5,GAMS
t81,10862.999673096447,1.1,0.5,GAMS
t82,11387.433405330356,1.1,0.5,GAMS
t83,11352.554813992238,1.1,0.5,GAMS
t84,11803.230547475929,1.1,0.5,GAMS
t85,11410.625978301656,1.1,0.5,GAMS
t86,10941.980279293584,1.1,0.5,GAMS
t87,10592.935061793858,1.1,0.5,GAMS
t88,11049.63137115553,1.1,0.5,GAMS
t89,10396.977641836662,1.1,0.5,GAMS
t90,9887.080039781726,1.1,0.5,GAMS
t91,9683.689423378468,1.1,0.5,GAMS
t92,9810.252885584436,1.1,0.5,GAMS
t93,9636.638690778944,1.1,0.5,GAMS
t94,10008.251343329946,1.1,0.5,GAMS
t95,10524.889897871766,1.1,0.5,GAMS
t96,10303.003105038748,1.1,0.5,GAMS
t97,10337.32259254401,1.1,0.5,GAMS
t98,10240.9275708659,1.1,0.5,GAMS
t99,10366.07919566213,1.1,0.5,GAMS
t100,10539.647954556647,1.1,0.5,GAMS
t101,10236.27272501363,1.1,0.5,GAMS
t102,9959.728168155372,1.1,0.5,GAMS
t103,9977.535943992874,1.1,0.5,GAMS
t104,9936.133841229419,1.1,0.5,GAMS
t105,10112.254225991841,1.1,0.5,GAMS
t106,10600.415767085522,1.1,0.5,GAMS
t107,10767.100496625506,1.1,0.5,GAMS
t108,11012.469537286715,1.1,0.5,GAMS
t109,11203.368774887835,1.1,0.5,GAMS
t110,10929.00787872699,1.1,0.5,GAMS
t111,11159.160588965036,1.1,0.5,GAMS
t112,10774.219142588503,1.1,0.5,GAMS
t113,10854.247084665229,1.1,0.5,GAMS
t114,10230.99900139478,1.1,0.5,GAMS
t115,10879.851367831669,1.1,0.5,GAMS
t116,11002.719843156896,1.1,0.5,GAMS
t117,11415.036338912798,1.1,0.5,GAMS
t118,11398.40038218948,1.1,0.5,GAMS
t119,11645.294698013431,1.1,0.5,GAMS
t120,11411.924716101896,1.1,0.5,GAMS
t121,11601.277709282487,1.1,0.5,GAMS
t122,11555.31135240331,1.1,0.5,GAMS
t123,11326.776699737213,1.1,0.5,GAMS
t124,11511.651701086,1.1,0.5,GAMS
t125,11545.559552343164,1.1,0.5,GAMS
t126,11767.245566110489,1.1,0.5,GAMS
t127,11740.027966498514,1.1,0.5,GAMS
t128,11948.559695515709,1.1,0.5,GAMS
t129,12061.539090116046,1.1,0.5,GAMS
t130,12293.240691323044,1.1,0.5,GAMS
t131,12150.597854212307,1.1,0.5,GAMS
t132,12407.599633281041,1.1,0.5,GAMS
t133,12463.478623373592,1.1,0.5,GAMS
t134,12541.705095065701,1.1,0.5,GAMS
t135,12264.803757047888,1.1,0.5,GAMS
t136,12251.746736782754,1.1,0.5,GAMS
t137,11812.963497330276,1.1,0.5,GAMS
t138,11889.6653137387,1.1,0.5,GAMS
t139,12120.36993820569,1.1,0.5,GAMS
t140,11997.115630144275,1.1,0.5,GAMS
t141,12003.607380157251,1.1,0.5,GAMS
t142,11698.75019039323,1.1,0.5,GAMS
t143,11664.457343242926,1.1,0.5,GAMS
t144,11754.677794050549,1.1,0.5,GAMS
t145,11714.863794148285,1.1,0.5,GAMS
t146,11594.384806629776,1.1,0.5,GAMS
t147,11525.230637213235,1.1,0.5,GAMS
t148,12136.259863550405,1.1,0.5,GAMS
t149,12400.813509286187,1.1,0.5,GAMS
t150,12595.231686793124,1.1,0.5,GAMS
t151,12781.32302882035,1.1,0.5,GAMS
t152,12892.680596797933,1.1,0.5,GAMS
t153,13149.033055401893,1.1,0.5,GAMS
t154,13343.108995557315,1.1,0.5,GAMS
t155,13491.927344416288,1.1,0.5,GAMS
t156,13473.303915209828,1.1,0.5,GAMS
t157,13331.44497707995,1.1,0.5,GAMS
t158,13582.201532762052,1.1,0.5,GAMS
t159,13654.386195304709,1.1,0.5,GAMS
t160,13749.520103021647,1.1,0.5,GAMS
t161,13953.439805526456,1.1,0.5,GAMS
t162,14288.69453486174,1.1,0.5,GAMS
t163,14632.004319803968,1.1,0.5,GAMS
t1,11836.890552775392,N/A,N/A,1/N
t2,11181.550848689232,N/A,N/A,1/N
t3,10506.052410548547,N/A,N/A,1/N
t4,11122.05420886851,N/A,N/A,1/N
t5,12022.412290622868,N/A,N/A,1/N
t6,13426.094088668318,N/A,N/A,1/N
t7,14383.508145291316,N/A,N/A,1/N
t8,12625.745474303685,N/A,N/A,1/N
t9,13104.297393379904,N/A,N/A,1/N
t10,14234.268469995879,N/A,N/A,1/N
t11,14428.596364794661,N/A,N/A,1/N
t12,14081.594857323591,N/A,N/A,1/N
t13,14815.312428487228,N/A,N/A,1/N
t14,15170.933051487358,N/A,N/A,1/N
t15,16202.801488873452,N/A,N/A,1/N
t16,14727.889902183846,N/A,N/A,1/N
t17,15756.261759415915,N/A,N/A,1/N
t18,16613.970526791254,N/A,N/A,1/N
t19,16103.971682355443,N/A,N/A,1/N
t20,12774.166307597035,N/A,N/A,1/N
t21,12632.158558891815,N/A,N/A,1/N
t22,13273.959385716387,N/A,N/A,1/N
t23,12809.522046718572,N/A,N/A,1/N
t24,12425.36708377103,N/A,N/A,1/N
t25,11748.87291249583,N/A,N/A,1/N
t26,12175.873305513318,N/A,N/A,1/N
t27,12353.353179631804,N/A,N/A,1/N
t28,11716.033222779975,N/A,N/A,1/N
t29,12061.040624086685,N/A,N/A,1/N
t30,13153.247748223552,N/A,N/A,1/N
t31,13782.562693739126,N/A,N/A,1/N
t32,14712.433534898972,N/A,N/A,1/N
t33,14954.58401497837,N/A,N/A,1/N
t34,15078.870350676323,N/A,N/A,1/N
t35,15564.215622486783,N/A,N/A,1/N
t36,14347.639543356465,N/A,N/A,1/N
t37,14657.750418835762,N/A,N/A,1/N
t38,13902.365772285042,N/A,N/A,1/N
t39,14471.26691388597,N/A,N/A,1/N
t40,15228.105587840366,N/A,N/A,1/N
t41,16106.979616868526,N/A,N/A,1/N
t42,16244.122213977449,N/A,N/A,1/N
t43,16776.330771120316,N/A,N/A,1/N
t44,16923.407697600116,N/A,N/A,1/N
t45,17242.733403208018,N/A,N/A,1/N
t46,16481.754425631003,N/A,N/A,1/N
t47,15840.355255745233,N/A,N/A,1/N
t48,15751.818739829268,N/A,N/A,1/N
t49,15264.611087380841,N/A,N/A,1/N
t50,14802.33399710919,N/A,N/A,1/N
t51,15567.404884426818,N/A,N/A,1/N
t52,14860.12885617335,N/A,N/A,1/N
t53,13862.661272882075,N/A,N/A,1/N
t54,13831.904109826739,N/A,N/A,1/N
t55,12095.440311774837,N/A,N/A,1/N
t56,12178.260924249833,N/A,N/A,1/N
t57,12834.933807911506,N/A,N/A,1/N
t58,12911.611836255172,N/A,N/A,1/N
t59,12439.752138617645,N/A,N/A,1/N
t60,12288.925291631891,N/A,N/A,1/N
t61,12190.157701311347,N/A,N/A,1/N
t62,11905.818088525837,N/A,N/A,1/N
t63,12777.645606838572,N/A,N/A,1/N
t64,13329.010530498017,N/A,N/A,1/N
t65,13760.526149068111,N/A,N/A,1/N
t66,13135.0074886486,N/A,N/A,1/N
t67,12542.472758873455,N/A,N/A,1/N
t68,12291.943495103073,N/A,N/A,1/N
t69,11846.11338190177,N/A,N/A,1/N
t70,11466.993111297317,N/A,N/A,1/N
t71,10071.178243066994,N/A,N/A,1/N
t72,9746.95687282496,N/A,N/A,1/N
t73,9870.205063265748,N/A,N/A,1/N
t74,9933.795515462665,N/A,N/A,1/N
t75,9569.201986993685,N/A,N/A,1/N
t76,7560.375968379214,N/A,N/A,1/N
t77,7999.147211529304,N/A,N/A,1/N
t78,7535.494002323433,N/A,N/A,1/N
t79,8040.930516740207,N/A,N/A,1/N
t80,7886.113080312023,N/A,N/A,1/N
t81,8403.32831554832,N/A,N/A,1/N
t82,8906.773058315512,N/A,N/A,1/N
t83,8774.637311886197,N/A,N/A,1/N
t84,9241.695984319249,N/A,N/A,1/N
t85,8589.52672480148,N/A,N/A,1/N
t86,8239.252646409132,N/A,N/A,1/N
t87,7998.67884778253,N/A,N/A,1/N
t88,8446.638149108194,N/A,N/A,1/N
t89,7795.735092931193,N/A,N/A,1/N
t90,7393.720584707726,N/A,N/A,1/N
t91,7359.160526807163,N/A,N/A,1/N
t92,7430.7837072981065,N/A,N/A,1/N
t93,7272.6708167363,N/A,N/A,1/N
t94,7454.1106106143425,N/A,N/A,1/N
t95,8008.273003848074,N/A,N/A,1/N
t96,8022.586451519534,N/A,N/A,1/N
t97,7284.354391175479,N/A,N/A,1/N
t98,7185.655398344597,N/A,N/A,1/N
t99,7235.503178166288,N/A,N/A,1/N
t100,7426.784075082672,N/A,N/A,1/N
t101,7285.4749910767705,N/A,N/A,1/N
t102,7012.084303946905,N/A,N/A,1/N
t103,7071.040156453256,N/A,N/A,1/N
t104,7007.160334394354,N/A,N/A,1/N
t105,7172.8725238610305,N/A,N/A,1/N
t106,7796.92227423643,N/A,N/A,1/N
t107,8227.622803583428,N/A,N/A,1/N
t108,8392.322258742804,N/A,N/A,1/N
t109,8556.634325182511,N/A,N/A,1/N
t110,8146.022094109925,N/A,N/A,1/N
t111,8660.681136105457,N/A,N/A,1/N
t112,8273.762712872069,N/A,N/A,1/N
t113,8202.892707925957,N/A,N/A,1/N
t114,7607.309686356405,N/A,N/A,1/N
t115,8613.90196025628,N/A,N/A,1/N
t116,8681.206887665703,N/A,N/A,1/N
t117,9045.79478023704,N/A,N/A,1/N
t118,9027.388841602391,N/A,N/A,1/N
t119,9487.056310392281,N/A,N/A,1/N
t120,8917.18352334966,N/A,N/A,1/N
t121,9213.788746162849,N/A,N/A,1/N
